datetime,Distance_82,Distance_83
2024-07-05 04:06:06.007857,0.67,0.6
2024-07-05 04:06:06.021881,0.67,0.65
2024-07-05 04:06:06.130303,0.76,0.65
2024-07-05 04:06:06.144878,0.76,0.64
2024-07-05 04:06:06.253481,0.74,0.64
2024-07-05 04:06:06.267431,0.74,0.54
2024-07-05 04:06:06.376637,0.75,0.54
2024-07-05 04:06:06.390819,0.75,0.57
2024-07-05 04:06:06.499366,0.82,0.57
2024-07-05 04:06:06.513366,0.82,0.6
2024-07-05 04:06:06.622366,0.79,0.6
2024-07-05 04:06:06.636010,0.79,0.57
2024-07-05 04:06:06.746085,0.8,0.57
2024-07-05 04:06:06.759112,0.8,0.63
2024-07-05 04:06:06.868586,0.71,0.63
2024-07-05 04:06:06.882614,0.71,0.6
2024-07-05 04:06:06.991363,0.68,0.6
2024-07-05 04:06:07.005377,0.68,0.62
2024-07-05 04:06:07.114680,0.71,0.62
2024-07-05 04:06:07.128588,0.71,0.6
2024-07-05 04:06:07.484073,0.68,0.6
2024-07-05 04:06:07.498064,0.68,0.6
2024-07-05 04:06:07.606937,0.68,0.6
2024-07-05 04:06:07.619989,0.68,0.64
2024-07-05 04:06:07.729690,0.69,0.64
2024-07-05 04:06:07.743227,0.69,0.6
2024-07-05 04:06:07.853184,0.63,0.6
2024-07-05 04:06:07.867078,0.63,0.66
2024-07-05 04:06:07.976487,0.68,0.66
2024-07-05 04:06:07.989409,0.68,0.66
2024-07-05 04:06:08.098594,0.84,0.66
2024-07-05 04:06:08.112601,0.84,0.62
2024-07-05 04:06:08.221747,0.73,0.62
2024-07-05 04:06:08.235272,0.73,0.54
2024-07-05 04:06:08.345594,0.85,0.54
2024-07-05 04:06:08.358598,0.85,0.57
2024-07-05 04:06:08.467488,0.68,0.57
2024-07-05 04:06:08.481411,0.68,0.61
2024-07-05 04:06:08.604751,0.68,0.6
2024-07-05 04:06:08.727576,0.68,0.57
2024-07-05 04:06:08.836398,0.8,0.57
2024-07-05 04:06:08.850482,0.8,0.53
2024-07-05 04:06:08.973352,0.8,0.52
2024-07-05 04:06:09.096623,0.8,0.56
2024-07-05 04:06:09.328779,0.68,0.56
2024-07-05 04:06:09.342289,0.68,0.68
2024-07-05 04:06:09.451956,0.65,0.68
2024-07-05 04:06:09.465980,0.65,0.62
2024-07-05 04:06:09.575256,0.7,0.62
2024-07-05 04:06:09.588367,0.7,0.63
2024-07-05 04:06:09.697949,0.67,0.63
2024-07-05 04:06:09.712067,0.67,0.65
2024-07-05 04:06:10.067238,0.67,0.65
2024-07-05 04:06:10.081218,0.67,0.66
2024-07-05 04:06:10.189770,0.61,0.66
2024-07-05 04:06:10.203782,0.61,0.32
2024-07-05 04:06:10.313167,0.82,0.32
2024-07-05 04:06:10.326441,0.82,0.77
2024-07-05 04:06:10.435933,0.83,0.77
2024-07-05 04:06:10.450581,0.83,0.86
2024-07-05 04:06:10.559079,0.8,0.86
2024-07-05 04:06:10.573079,0.8,0.69
2024-07-05 04:06:10.682635,0.76,0.69
2024-07-05 04:06:10.695753,0.76,0.62
2024-07-05 04:06:10.804514,0.79,0.62
2024-07-05 04:06:10.818516,0.79,0.57
2024-07-05 04:06:10.927952,0.77,0.57
2024-07-05 04:06:10.941468,0.77,0.55
2024-07-05 04:06:11.050652,0.8,0.55
2024-07-05 04:06:11.064784,0.8,0.57
2024-07-05 04:06:11.173777,0.85,0.57
2024-07-05 04:06:11.187081,0.85,0.61
2024-07-05 04:06:11.297253,0.78,0.61
2024-07-05 04:06:11.310258,0.78,0.56
2024-07-05 04:06:11.419552,0.85,0.56
2024-07-05 04:06:11.433571,0.85,0.6
2024-07-05 04:06:11.542409,0.84,0.6
2024-07-05 04:06:11.556662,0.84,0.58
2024-07-05 04:06:11.666044,0.83,0.58
2024-07-05 04:06:11.679240,0.83,0.55
2024-07-05 04:06:11.788624,0.85,0.55
2024-07-05 04:06:11.802248,0.85,0.65
2024-07-05 04:06:11.911403,0.84,0.65
2024-07-05 04:06:11.925657,0.84,0.6
2024-07-05 04:06:12.035368,0.84,0.6
2024-07-05 04:06:12.048575,0.84,0.56
2024-07-05 04:06:12.157322,0.84,0.56
2024-07-05 04:06:12.171487,0.84,0.52
2024-07-05 04:06:12.281065,0.81,0.52
2024-07-05 04:06:12.295063,0.81,0.56
2024-07-05 04:06:12.649945,0.84,0.56
2024-07-05 04:06:12.663100,0.84,0.59
2024-07-05 04:06:12.772773,0.84,0.59
2024-07-05 04:06:12.786282,0.84,0.53
2024-07-05 04:06:12.895910,0.86,0.53
2024-07-05 04:06:12.910107,0.86,0.57
2024-07-05 04:06:13.019108,0.8,0.57
2024-07-05 04:06:13.033182,0.8,0.49
2024-07-05 04:06:13.142304,0.87,0.49
2024-07-05 04:06:13.155544,0.87,0.55
2024-07-05 04:06:13.264278,0.85,0.55
2024-07-05 04:06:13.278359,0.85,0.61
2024-07-05 04:06:13.388312,0.86,0.61
2024-07-05 04:06:13.402318,0.86,0.62
2024-07-05 04:06:13.511331,0.91,0.62
2024-07-05 04:06:13.524662,0.91,0.51
2024-07-05 04:06:13.634310,0.9,0.51
2024-07-05 04:06:13.648093,0.9,0.6
2024-07-05 04:06:13.757018,0.86,0.6
2024-07-05 04:06:13.771020,0.86,0.57
2024-07-05 04:06:13.879595,0.87,0.57
2024-07-05 04:06:13.893593,0.87,0.63
2024-07-05 04:06:14.003277,0.81,0.63
2024-07-05 04:06:14.017276,0.81,0.56
2024-07-05 04:06:14.125902,0.81,0.56
2024-07-05 04:06:14.139919,0.81,0.57
2024-07-05 04:06:14.248943,0.81,0.57
2024-07-05 04:06:14.262774,0.81,0.56
2024-07-05 04:06:14.371461,0.8,0.56
2024-07-05 04:06:14.385462,0.8,0.63
2024-07-05 04:06:14.495246,0.81,0.63
2024-07-05 04:06:14.509253,0.81,0.76
2024-07-05 04:06:14.617646,0.76,0.76
2024-07-05 04:06:14.631775,0.76,0.43
2024-07-05 04:06:14.740655,0.76,0.43
2024-07-05 04:06:14.755199,0.76,0.46
2024-07-05 04:06:14.864047,0.8,0.46
2024-07-05 04:06:14.877049,0.8,0.47
2024-07-05 04:06:15.232727,0.73,0.47
2024-07-05 04:06:15.246255,0.73,0.54
2024-07-05 04:06:15.355796,0.75,0.54
2024-07-05 04:06:15.369788,0.75,0.58
2024-07-05 04:06:15.478158,0.73,0.58
2024-07-05 04:06:15.492158,0.73,0.54
2024-07-05 04:06:15.601671,0.77,0.54
2024-07-05 04:06:15.615673,0.77,0.52
2024-07-05 04:06:15.724503,0.71,0.52
2024-07-05 04:06:15.738572,0.71,0.56
2024-07-05 04:06:15.847359,0.7,0.56
2024-07-05 04:06:15.861064,0.7,0.53
2024-07-05 04:06:15.970313,0.66,0.53
2024-07-05 04:06:15.984354,0.66,0.57
2024-07-05 04:06:16.093024,0.66,0.57
2024-07-05 04:06:16.107024,0.66,0.59
2024-07-05 04:06:16.216014,0.69,0.59
2024-07-05 04:06:16.230819,0.69,0.55
2024-07-05 04:06:16.339380,0.72,0.55
2024-07-05 04:06:16.353597,0.72,0.57
2024-07-05 04:06:16.462318,0.69,0.57
2024-07-05 04:06:16.476324,0.69,0.61
2024-07-05 04:06:16.586096,0.72,0.61
2024-07-05 04:06:16.599427,0.72,0.58
2024-07-05 04:06:16.708757,0.68,0.58
2024-07-05 04:06:16.722765,0.68,0.56
2024-07-05 04:06:16.831874,0.69,0.56
2024-07-05 04:06:16.845034,0.69,0.55
2024-07-05 04:06:16.954105,0.66,0.55
2024-07-05 04:06:16.968112,0.66,0.54
2024-07-05 04:06:17.077865,0.76,0.54
2024-07-05 04:06:17.091865,0.76,0.56
2024-07-05 04:06:17.200382,0.7,0.56
2024-07-05 04:06:17.214395,0.7,0.61
2024-07-05 04:06:17.324245,0.64,0.61
2024-07-05 04:06:17.337504,0.64,0.56
2024-07-05 04:06:17.446872,0.69,0.56
2024-07-05 04:06:17.460202,0.69,0.6
2024-07-05 04:06:17.815632,0.75,0.6
