Timestamp,Device,Distance_82,Distance_83,X,Y
1720123563.0699413,Distance,0.8,0.59,0.64595,0.4719624958616945
1720123563.178723,Distance,0.84,0.59,0.67875,0.49487214257826234
1720123563.1927311,Distance,0.84,0.53,0.71235,0.4451488262367991
1720123563.3013673,Distance,0.83,0.53,0.704,0.43964076244133693
1720123563.3153758,Distance,0.83,0.59,0.6703999999999999,0.4893504265861021
1720123563.424894,Distance,0.76,0.59,0.6147499999999999,0.4468584087829165
1720123563.439374,Distance,0.76,0.67,0.5643499999999999,0.5090275802940348
1720123563.547902,Distance,0.74,0.67,0.54935,0.49579691154746014
1720123563.5619018,Distance,0.74,0.58,0.6056,0.42526302449190184
1720123563.6704624,Distance,0.83,0.58,0.6762499999999999,0.4812337659599543
1720123563.6844544,Distance,0.83,0.61,0.6583999999999999,0.5053804903238748
1720123563.7945006,Distance,0.77,0.61,0.6104,0.4693738808242317
1720123563.8081148,Distance,0.77,0.6,0.6164499999999999,0.46139939044173006
1720123563.9167926,Distance,0.73,0.6,0.5864499999999999,0.43471415608420216
1720123563.9303172,Distance,0.73,0.62,0.5742499999999999,0.45070715270561224
1720123564.039524,Distance,0.79,0.62,0.61985,0.4897815610044952
1720123564.0534601,Distance,0.79,0.6,0.63205,0.47393332600693955
1720123564.1627748,Distance,0.69,0.6,0.5580499999999999,0.405808079638639
1720123564.176856,Distance,0.69,0.61,0.552,0.4139999999999998
1720123564.2863564,Distance,0.81,0.61,0.6420000000000001,0.49389877505416013
1720123564.3004289,Distance,0.81,0.59,0.6540000000000001,0.4778953860417569
1720123564.4092762,Distance,0.71,0.59,0.5780000000000001,0.4123299649552527
1720123564.4226742,Distance,0.71,0.67,0.5276,0.4751191850472889
1720123564.532037,Distance,0.76,0.67,0.5643499999999999,0.5090275802940348
1720123564.546047,Distance,0.76,0.62,0.5965999999999999,0.4708167796500036
1720123564.9008024,Distance,0.74,0.62,0.5816,0.4575384574000311
1720123564.9146793,Distance,0.74,0.61,0.58775,0.4496108734227854
1720123565.0235376,Distance,0.77,0.61,0.6104,0.4693738808242317
1720123565.0380788,Distance,0.77,0.61,0.6104,0.4693738808242317
1720123565.1470747,Distance,0.77,0.61,0.6104,0.4693738808242317
1720123565.1611218,Distance,0.77,0.6,0.6164499999999999,0.46139939044173006
1720123565.2698135,Distance,0.79,0.6,0.63205,0.47393332600693955
1720123565.2837913,Distance,0.79,0.66,0.5942500000000001,0.52054484677115
1720123565.3925383,Distance,0.77,0.66,0.57865,0.5080001747046944
1720123565.406559,Distance,0.77,0.61,0.6104,0.4693738808242317
1720123565.5163324,Distance,0.77,0.61,0.6104,0.4693738808242317
1720123565.5293562,Distance,0.77,0.62,0.60425,0.4772650600033488
1720123565.639068,Distance,0.78,0.62,0.612,0.48358660031063727
1720123565.6529906,Distance,0.78,0.61,0.61815,0.47570009196972
1720123565.7619,Distance,0.72,0.61,0.57315,0.43577411293008206
1720123565.7752004,Distance,0.72,0.62,0.567,0.4437465492823578
1720123565.8847287,Distance,0.8,0.62,0.6278,0.4958499369769044
1720123565.898957,Distance,0.8,0.6,0.6400000000000001,0.4799999999999998
1720123566.0078568,Distance,0.67,0.6,0.5444500000000001,0.39047944568184373
1720123566.0218806,Distance,0.67,0.65,0.5132,0.4307270133158589
1720123566.130303,Distance,0.76,0.65,0.5775499999999999,0.4939999974696358
1720123566.1448781,Distance,0.76,0.64,0.584,0.48635789291426135
1720123566.2534814,Distance,0.74,0.64,0.5690000000000001,0.47311626478065605
1720123566.2674315,Distance,0.74,0.54,0.628,0.3914281543272022
1720123566.3766365,Distance,0.75,0.54,0.63545,0.3983758244421969
1720123566.390819,Distance,0.75,0.57,0.6188,0.42377654489129046
1720123566.4993656,Distance,0.82,0.57,0.67375,0.46739805038104293
1720123566.5133655,Distance,0.82,0.6,0.6561999999999999,0.49173322035428924
1720123566.6223664,Distance,0.79,0.6,0.63205,0.47393332600693955
1720123566.6360102,Distance,0.79,0.57,0.6496000000000001,0.449577401567294
1720123566.7460852,Distance,0.8,0.57,0.6575500000000001,0.4556621528062211
1720123566.7591116,Distance,0.8,0.63,0.62155,0.5036621858944742
1720123566.868586,Distance,0.71,0.63,0.5536,0.4445526290553234
1720123566.8826144,Distance,0.71,0.6,0.57205,0.42054583281730423
1720123566.9913628,Distance,0.68,0.6,0.5512000000000001,0.39821923609991505
1720123567.0053766,Distance,0.68,0.62,0.539,0.41458292294787064
1720123567.1146803,Distance,0.71,0.62,0.55985,0.4366554448303605
1720123567.128588,Distance,0.71,0.6,0.57205,0.42054583281730423
1720123567.4840727,Distance,0.68,0.6,0.5512000000000001,0.39821923609991505
1720123567.4980638,Distance,0.68,0.6,0.5512000000000001,0.39821923609991505
1720123567.6069374,Distance,0.68,0.6,0.5512000000000001,0.39821923609991505
1720123567.6199892,Distance,0.68,0.64,0.5264000000000001,0.4304683960524861
1720123567.72969,Distance,0.69,0.64,0.53325,0.43788632942808337
1720123567.7432272,Distance,0.69,0.6,0.5580499999999999,0.405808079638639
1720123567.8531845,Distance,0.63,0.6,0.5184500000000001,0.3579240107899998
1720123567.8670783,Distance,0.63,0.66,0.48064999999999997,0.40727825561893183
1720123567.976487,Distance,0.68,0.66,0.5134000000000001,0.4458928570856456
1720123567.989409,Distance,0.68,0.66,0.5134000000000001,0.4458928570856456
1720123568.098594,Distance,0.84,0.66,0.635,0.5498863518946436
1720123568.112601,Distance,0.84,0.62,0.6606,0.5188522332996169
1720123568.221747,Distance,0.73,0.62,0.5742499999999999,0.45070715270561224
1720123568.2352715,Distance,0.73,0.54,0.6206499999999999,0.3843092212008451
1720123568.3455935,Distance,0.85,0.54,0.7154499999999999,0.45894585464954374
1720123568.3585985,Distance,0.85,0.57,0.6988,0.48391999338733666
1720123568.467488,Distance,0.68,0.57,0.5687500000000001,0.37272434519360287
1720123568.4814105,Distance,0.68,0.61,0.54515,0.4064621476841356
1720123568.6047509,Distance,0.68,0.6,0.5512000000000001,0.39821923609991505
1720123568.7275765,Distance,0.68,0.57,0.5687500000000001,0.37272434519360287
1720123568.836398,Distance,0.8,0.57,0.6575500000000001,0.4556621528062211
1720123568.850482,Distance,0.8,0.53,0.6795500000000001,0.4221513916831258
1720123568.9733524,Distance,0.8,0.52,0.6848000000000001,0.41358065718792986
1720123569.096623,Distance,0.8,0.56,0.6632,0.4473988824304327
1720123569.3287792,Distance,0.68,0.56,0.5744,0.363956920527691
1720123569.3422894,Distance,0.68,0.68,0.5,0.4608687448721166
1720123569.4519558,Distance,0.65,0.68,0.48005,0.43823737574515487
1720123569.46598,Distance,0.65,0.62,0.51905,0.3912634630271526
1720123569.575256,Distance,0.7,0.62,0.5528,0.4294323695298248
1720123569.5883665,Distance,0.7,0.63,0.54655,0.437359231639164
1720123569.697949,Distance,0.67,0.63,0.526,0.414998795178974
1720123569.7120671,Distance,0.67,0.65,0.5132,0.4307270133158589
1720123570.0672383,Distance,0.67,0.65,0.5132,0.4307270133158589
1720123570.081218,Distance,0.67,0.66,0.50665,0.4384127934948979
1720123570.1897705,Distance,0.61,0.66,0.46825000000000006,0.3909500447627547
1720123570.203782,Distance,0.61,0.32,0.46825000000000006,0.3909500447627547
1720123570.3131669,Distance,0.82,0.32,0.7849999999999999,0.23701265788982664
1720123570.326441,Distance,0.82,0.77,0.53975,0.6173086241905259
1720123570.4359334,Distance,0.83,0.77,0.5479999999999999,0.6233746866853033
1720123570.4505813,Distance,0.83,0.86,0.47465,0.6808871988075557
1720123570.559079,Distance,0.8,0.86,0.4502000000000001,0.6613017163141194
1720123570.5730786,Distance,0.8,0.69,0.5819500000000001,0.5489391564645393
1720123570.6826353,Distance,0.76,0.69,0.55075,0.5237121704715291
1720123570.6957529,Distance,0.76,0.62,0.5965999999999999,0.4708167796500036
1720123570.8045144,Distance,0.79,0.62,0.61985,0.4897815610044952
1720123570.8185158,Distance,0.79,0.57,0.6496000000000001,0.449577401567294
1720123570.9279525,Distance,0.77,0.57,0.634,0.43697139494479503
1720123570.9414685,Distance,0.77,0.55,0.6452,0.42025820634462346
1720123571.0506516,Distance,0.8,0.55,0.6687500000000001,0.4390597197420871
1720123571.0647836,Distance,0.8,0.57,0.6575500000000001,0.4556621528062211
1720123571.173777,Distance,0.85,0.57,0.6988,0.48391999338733666
1720123571.1870809,Distance,0.85,0.61,0.6752,0.5163380288144579
1720123571.2972534,Distance,0.78,0.61,0.61815,0.47570009196972
1720123571.3102584,Distance,0.78,0.56,0.6474,0.43505544474239144
1720123571.419552,Distance,0.85,0.56,0.7044499999999999,0.47565764736835686
1720123571.433571,Distance,0.85,0.6,0.6812499999999999,0.5083290641897236
1720123571.5424087,Distance,0.84,0.6,0.6728000000000001,0.5029315659212492
1720123571.5566618,Distance,0.84,0.58,0.6846,0.48674720338179644
1720123571.6660445,Distance,0.83,0.58,0.6762499999999999,0.4812337659599543
1720123571.6792397,Distance,0.83,0.55,0.6931999999999999,0.4564797476339996
1720123571.7886245,Distance,0.85,0.55,0.71,0.46733285782191686
1720123571.8022482,Distance,0.85,0.65,0.6499999999999999,0.5477225575051661
1720123571.9114032,Distance,0.84,0.65,0.64155,0.5422302071076455
1720123571.925657,Distance,0.84,0.6,0.6728000000000001,0.5029315659212492
1720123572.0353684,Distance,0.84,0.6,0.6728000000000001,0.5029315659212492
1720123572.048575,Distance,0.84,0.56,0.696,0.47030203061437026
1720123572.1573215,Distance,0.84,0.56,0.696,0.47030203061437026
1720123572.171487,Distance,0.84,0.52,0.7176,0.4366351337215089
1720123572.281065,Distance,0.81,0.52,0.6928500000000001,0.4195937052673693
1720123572.295063,Distance,0.81,0.56,0.67125,0.4533469284113438
1720123572.649945,Distance,0.84,0.56,0.696,0.47030203061437026
1720123572.6630998,Distance,0.84,0.59,0.67875,0.49487214257826234
1720123572.772773,Distance,0.84,0.59,0.67875,0.49487214257826234
1720123572.7862818,Distance,0.84,0.53,0.71235,0.4451488262367991
1720123572.8959095,Distance,0.86,0.53,0.7293499999999999,0.4556847347673609
1720123572.9101071,Distance,0.86,0.57,0.7073499999999999,0.4891379943328877
1720123573.0191076,Distance,0.8,0.57,0.6575500000000001,0.4556621528062211
1720123573.0331824,Distance,0.8,0.49,0.6999500000000001,0.3873886904647579
1720123573.1423037,Distance,0.87,0.49,0.7584,0.42629736100520266
1720123573.1555438,Distance,0.87,0.55,0.7272,0.4775773863993144
1720123573.264278,Distance,0.85,0.55,0.71,0.46733285782191686
1720123573.2783594,Distance,0.85,0.61,0.6752,0.5163380288144579
1720123573.3883123,Distance,0.86,0.61,0.6837499999999999,0.5216185747267827
1720123573.402318,Distance,0.86,0.62,0.6775999999999999,0.5295830813007533
1720123573.5113313,Distance,0.91,0.62,0.72185,0.5541052043610492
1720123573.5246623,Distance,0.91,0.51,0.784,0.46199999999999997
1720123573.6343095,Distance,0.9,0.51,0.77495,0.4576598054231987
1720123573.6480932,Distance,0.9,0.6,0.7250000000000001,0.5332682251925385
1720123573.757018,Distance,0.86,0.6,0.6898,0.5135912382430216
1720123573.7710197,Distance,0.86,0.57,0.7073499999999999,0.4891379943328877
1720123573.879595,Distance,0.87,0.57,0.716,0.49421048147525154
1720123573.893593,Distance,0.87,0.63,0.6799999999999999,0.5426785420486056
1720123574.0032766,Distance,0.81,0.63,0.6296,0.5096114598397489
1720123574.017276,Distance,0.81,0.56,0.67125,0.4533469284113438
1720123574.125902,Distance,0.81,0.56,0.67125,0.4533469284113438
1720123574.1399186,Distance,0.81,0.57,0.6656000000000001,0.4616022530274305
1720123574.248943,Distance,0.81,0.57,0.6656000000000001,0.4616022530274305
1720123574.2627735,Distance,0.81,0.56,0.67125,0.4533469284113438
1720123574.3714612,Distance,0.8,0.56,0.6632,0.4473988824304327
1720123574.3854618,Distance,0.8,0.63,0.62155,0.5036621858944742
1720123574.4952462,Distance,0.81,0.63,0.6296,0.5096114598397489
1720123574.509253,Distance,0.81,0.76,0.53925,0.6044083367227822
1720123574.617646,Distance,0.76,0.76,0.49999999999999994,0.5723635208501675
1720123574.6317754,Distance,0.76,0.43,0.6963499999999999,0.304461290642998
1720123574.7406552,Distance,0.76,0.43,0.6963499999999999,0.304461290642998
1720123574.7551994,Distance,0.76,0.46,0.6829999999999999,0.33333316666662505
1720123574.864047,Distance,0.8,0.46,0.7142000000000001,0.36044189545611915
1720123574.8770487,Distance,0.8,0.47,0.7095500000000001,0.36951156612479646
1720123575.2327273,Distance,0.73,0.47,0.6559999999999999,0.3202561474819806
1720123575.246255,Distance,0.73,0.54,0.6206499999999999,0.3843092212008451
1720123575.3557959,Distance,0.75,0.54,0.63545,0.3983758244421969
1720123575.3697877,Distance,0.75,0.58,0.61305,0.4320528873876438
1720123575.4781578,Distance,0.73,0.58,0.59825,0.4183263528634073
1720123575.4921577,Distance,0.73,0.54,0.6206499999999999,0.3843092212008451
1720123575.6016707,Distance,0.77,0.54,0.65065,0.4117700541564432
1720123575.6156728,Distance,0.77,0.52,0.66125,0.394523050657373
1720123575.7245028,Distance,0.71,0.52,0.61685,0.3515623379999626
1720123575.7385724,Distance,0.71,0.56,0.59525,0.387010901009261
1720123575.8473587,Distance,0.7,0.56,0.5882,0.37950067193616394
1720123575.8610642,Distance,0.7,0.53,0.6045499999999999,0.3528729197600746
1720123575.9703133,Distance,0.66,0.53,0.57735,0.31979208479885807
1720123575.9843545,Distance,0.66,0.57,0.55535,0.35663199169451976
1720123576.0930235,Distance,0.66,0.57,0.55535,0.35663199169451976
1720123576.1070235,Distance,0.66,0.59,0.54375,0.37408012176537814
1720123576.216014,Distance,0.69,0.59,0.5640000000000001,0.3974971698012451
1720123576.2308183,Distance,0.69,0.55,0.5868,0.3629955371626489
1720123576.3393798,Distance,0.72,0.55,0.60795,0.3857418793701301
1720123576.353597,Distance,0.72,0.57,0.59675,0.4028516321178307
1720123576.4623175,Distance,0.69,0.57,0.5756,0.38050576868163233
1720123576.4763243,Distance,0.69,0.61,0.552,0.4139999999999998
1720123576.5860956,Distance,0.72,0.61,0.57315,0.43577411293008206
1720123576.5994263,Distance,0.72,0.58,0.591,0.4112408053683389
1720123576.7087572,Distance,0.68,0.58,0.5630000000000001,0.3813541660976053
1720123576.7227647,Distance,0.68,0.56,0.5744,0.363956920527691
